TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
192.634,131.625,11.7492,11.749,-0.0732422,0.870597,1,-0.00123148,4.30867,
196.918,131.625,12.0999,12.0992,-0.125122,0.873836,1,-0.000519238,3.87478,
201.201,131.625,12.784,12.7818,-0.241089,0.894088,1,-0.000964148,3.44455,
205.485,131.625,13.3084,13.3066,-0.222778,0.933763,1,-0.000587735,4.01434,
209.769,131.625,13.3162,13.316,-0.0747681,0.933894,1,-0.00112647,3.83577,
214.052,131.625,12.9964,12.9957,-0.131226,0.854758,1,0.00053715,3.76945,
218.336,131.625,13.5757,13.5757,0.00610352,0.825335,1,0.0024428,3.93679,
222.619,131.625,13.7165,13.7163,0.0839233,0.848052,1,0.00128144,4.208,
226.903,131.625,12.8337,12.8325,-0.177002,0.85023,1,-0.00213794,4.15747,
231.187,131.625,12.6978,12.6975,-0.0869751,0.845916,1,0.000235071,4.03552,
235.47,131.625,12.7467,12.7467,-0.0183105,0.836732,1,0.00160905,4.09579,
239.754,131.625,12.0708,12.0703,-0.108337,0.800566,1,-0.00170513,4.22671,
244.038,131.625,12.3527,12.3511,-0.198364,0.835329,1,0,4.20057,
4.15383,127.341,13.5246,13.521,-0.309753,0.786083,1,0.00215658,2.95172,
8.43747,127.341,13.9526,13.9509,-0.219727,0.778289,1,0.00196759,3.28901,
12.7211,127.341,14.3997,14.3942,-0.396729,0.803606,1,-0.000282666,3.25751,
17.0048,127.341,14.1803,14.1725,-0.469971,0.838155,1,0.000132857,3.37338,
21.2884,127.341,13.6329,13.6307,-0.247192,0.808211,1,0.000373518,3.13984,
25.572,127.341,12.6776,12.6766,-0.160217,0.798304,1,-0.000931439,3.71231,
29.8557,127.341,13.5278,13.5196,-0.471497,0.8119,1,0.00147931,3.03306,
34.1393,127.341,13.7567,13.7345,-0.78125,0.922703,1,0.000931098,2.31581,
38.423,127.341,13.925,13.9158,-0.508118,0.916302,1,0.000577324,3.03404,
42.7066,127.341,14.3876,14.3819,-0.405884,0.861959,1,0.00132433,2.6061,
46.9902,127.341,14.6387,14.633,-0.410461,0.813605,1,0.0011046,3.59961,
51.2739,127.341,14.1598,14.1545,-0.387573,0.88648,1,-0.00154818,2.81219,
55.5575,127.341,13.7934,13.784,-0.508118,0.897607,1,-0.000986895,3.16355,
59.8411,127.341,12.9279,12.9278,0.038147,0.791806,1,-0.000921522,3.78386,
64.1248,127.341,13.0113,13.0091,0.241089,0.786076,1,-0.000611371,4.41978,
68.4084,127.341,13.9386,13.928,-0.543213,0.834652,1,0.00125493,3.92405,
72.6921,127.341,14.191,14.1727,-0.720215,0.871827,1,0.00216414,4.03213,
76.9757,127.341,13.8055,13.7877,-0.701904,0.86229,1,0.00149861,4.31531,
81.2593,127.341,13.5844,13.5746,-0.515747,0.820735,1,0.001373,4.0399,
85.543,127.341,14.2047,14.1892,-0.663757,0.843766,1,0.00165724,3.69907,
89.8266,127.341,14.4428,14.428,-0.653076,0.86887,1,7.84254e-05,4.10641,
94.1103,127.341,14.1113,14.1061,-0.382996,0.867822,1,-0.000839179,4.74717,
98.3939,127.341,13.9669,13.9517,-0.65155,0.855617,1,-0.000693403,4.94493,
102.678,127.341,13.6134,13.5976,-0.656128,0.804635,1,2.31806e-05,4.18905,
106.961,127.341,13.1027,13.1011,-0.201416,0.818772,1,5.87476e-05,4.50858,
111.245,127.341,13.3002,13.2996,-0.131226,0.885739,1,0.000855879,4.80307,
115.528,127.341,13.7037,13.7036,0.0305176,0.844436,1,0.00065552,4.64744,
119.812,127.341,13.6434,13.6433,0.0595093,0.83165,1,0.000176147,4.1456,
124.096,127.341,14.079,14.0765,-0.263977,0.86498,1,-0.000608971,4.88538,
