2026-04-23 19:30:08,369 | INFO | train_wake | Leave-one-Re-out main variant Re=100 done. acc=0.8133 macro_f1=0.8038
2026-04-23 19:30:18,810 | INFO | train_wake | Leave-one-Re-out main variant Re=200 done. acc=0.8667 macro_f1=0.8657
2026-04-23 19:30:29,835 | INFO | train_wake | Leave-one-Re-out main variant Re=300 done. acc=0.8067 macro_f1=0.7876
2026-04-23 19:30:57,267 | INFO | train_wake | Training wake-field variant dist_single_4ch with backbone=resnet18
2026-04-23 19:31:06,964 | INFO | train_wake | Variant dist_single_4ch seed=40 done. acc=0.7222 macro_f1=0.7215 dy_mae=0.04967 eps_mae=0.04567
2026-04-23 19:31:16,007 | INFO | train_wake | Variant dist_single_4ch seed=41 done. acc=0.9333 macro_f1=0.9302 dy_mae=0.04614 eps_mae=0.05009
2026-04-23 19:31:24,985 | INFO | train_wake | Variant dist_single_4ch seed=42 done. acc=0.9222 macro_f1=0.9241 dy_mae=0.04882 eps_mae=0.05421
2026-04-23 19:31:33,908 | INFO | train_wake | Variant dist_single_4ch seed=43 done. acc=0.7556 macro_f1=0.7614 dy_mae=0.04281 eps_mae=0.03382
2026-04-23 19:31:42,584 | INFO | train_wake | Variant dist_single_4ch seed=44 done. acc=0.8556 macro_f1=0.8559 dy_mae=0.04676 eps_mae=0.05529
2026-04-23 19:31:42,585 | INFO | train_wake | Training wake-field variant dist_multi_4ch with backbone=resnet18
2026-04-23 19:31:55,980 | INFO | train_wake | Variant dist_multi_4ch seed=40 done. acc=0.9667 macro_f1=0.9666 dy_mae=0.04162 eps_mae=0.04130
2026-04-23 19:32:09,188 | INFO | train_wake | Variant dist_multi_4ch seed=41 done. acc=0.7000 macro_f1=0.6815 dy_mae=0.04511 eps_mae=0.04899
2026-04-23 19:32:22,814 | INFO | train_wake | Variant dist_multi_4ch seed=42 done. acc=0.9111 macro_f1=0.9089 dy_mae=0.03984 eps_mae=0.05197
2026-04-23 19:32:35,821 | INFO | train_wake | Variant dist_multi_4ch seed=43 done. acc=0.9222 macro_f1=0.9211 dy_mae=0.04128 eps_mae=0.05161
2026-04-23 19:32:48,742 | INFO | train_wake | Variant dist_multi_4ch seed=44 done. acc=0.9333 macro_f1=0.9326 dy_mae=0.04298 eps_mae=0.04706
2026-04-23 19:33:00,529 | INFO | train_wake | Leave-one-Re-out main variant Re=100 done. acc=0.7867 macro_f1=0.7660
2026-04-23 19:33:11,651 | INFO | train_wake | Leave-one-Re-out main variant Re=200 done. acc=0.9933 macro_f1=0.9933
2026-04-23 19:33:22,834 | INFO | train_wake | Leave-one-Re-out main variant Re=300 done. acc=0.8600 macro_f1=0.8549
2026-04-23 19:33:22,853 | INFO | train_wake | Wake-field training complete. main_variant=dist_multi_4ch summary=/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/reports/wake_field_summary.md
