TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
179.783,131.625,4.86138,-0.118966,4.85992,0.731406,1,0.00044523,4.43248,
184.067,131.625,4.47625,-0.0873242,4.4754,0.722472,1,0.000856368,4.50951,
188.35,131.625,4.26493,0.962225,4.15497,0.722371,1,0.00149742,4.36025,
192.634,131.625,4.26358,1.59986,3.95203,0.724977,1,0.000858711,3.45273,
196.918,131.625,3.69807,1.47656,3.3905,0.7149,1,-0.000584493,3.98345,
201.201,131.625,2.95568,1.25091,2.67792,0.712288,1,-0.00327372,3.97033,
205.485,131.625,3.58285,3.094,1.80664,0.722408,1,-0.00192425,4.18682,
209.769,131.625,7.0359,6.90027,1.37482,0.690633,1,0.00170504,3.46487,
214.052,131.625,8.22903,8.0976,1.46484,0.816245,1,0.00234034,4.11103,
218.336,131.625,6.24921,6.13453,1.19171,0.839728,1,0.00362562,4.16894,
222.619,131.625,5.40796,5.36141,0.708008,0.796764,1,0.00361755,2.76043,
226.903,131.625,6.90685,6.80802,1.16425,0.758122,1,0.00787912,3.40851,
231.187,131.625,5.13824,5.07074,0.830078,0.785401,1,0.00571396,3.65687,
235.47,131.625,3.93743,3.7047,1.33362,0.772014,1,0.00334103,4.03283,
239.754,131.625,3.6366,2.81854,2.29797,0.748826,1,0.000707807,3.95122,
244.038,131.625,4.44067,3.45533,2.78931,0.72305,1,0,3.79433,
4.15383,127.341,3.64705,3.17333,1.79749,0.780686,1,0.00122586,4.07145,
8.43747,127.341,2.8032,2.30128,1.60065,0.802528,1,-0.000422174,3.87776,
12.7211,127.341,3.44022,3.36561,0.712585,0.814374,1,-3.29751e-05,4.21445,
17.0048,127.341,3.04022,3.03354,0.201416,0.804736,1,-0.000570912,4.80212,
21.2884,127.341,2.65085,2.63626,-0.27771,0.774225,1,0.000269848,4.60521,
25.572,127.341,4.1843,4.02127,-1.15662,0.752663,1,0.00140492,3.81026,
29.8557,127.341,7.02968,6.42926,-2.84271,0.668677,1,0.00247514,3.35115,
34.1393,127.341,7.54426,6.75092,-3.36761,0.619629,1,0.00177104,3.92413,
38.423,127.341,8.62884,2.92579,-8.11768,0.647416,1,0.000978597,3.20647,
42.7066,127.341,11.4469,4.91541,-10.3378,0.731524,1,0.00321348,3.3144,
46.9902,127.341,11.2609,6.87096,-8.92181,0.73008,1,0.00375068,3.22919,
