perm_idx,iou,dice,miou3
55,0.3840295837031336,0.49941056096899505,0.7867787062648222
56,0.340393081446573,0.45950181367292586,0.7721135062809871
57,0.3264983867302935,0.4514645998879065,0.7679573994545956
58,0.3574306150718303,0.4618925558761789,0.7784011172202135
59,0.37702770348043646,0.48029661524044776,0.7846164449040911
60,0.33978138652227396,0.45647405117343454,0.7719961586885229
61,0.3456309729668104,0.4559230307808101,0.77423733984475
62,0.3526987516628858,0.4717445074739415,0.7766159891147303
63,0.3198238390904352,0.4318671096361891,0.7653550922864905
64,0.43441490704744357,0.5481828768251626,0.8037214888248173
65,0.3690983423255986,0.4968010160364263,0.7821499662269435
66,0.2986359067084515,0.40951659369092974,0.758034302227188
67,0.35881434067751833,0.46728542324961314,0.7785967240052888
68,0.30171591203705767,0.423744878968163,0.7589112823197048
69,0.40409722637304873,0.5095093017795821,0.793278089836406
70,0.40936376621758336,0.5153210040566222,0.7957766758672192
71,0.35580432423285796,0.47045894402551686,0.7773747349576072
72,0.3535822489124815,0.47422158030203043,0.7767723451914746
73,0.3558803738328217,0.4819433852908679,0.7773279134863456
74,0.373726678247828,0.49817334599578583,0.7833914840030294
75,0.3174987048372364,0.44526613782416885,0.7644113109651234
76,0.34932370494800824,0.46841306430506713,0.7748397772342996
77,0.3979164705227374,0.508574971033442,0.791794371605977
78,0.37882174000823027,0.4900317730852149,0.7851236257347487
79,0.38766116564507247,0.5025337057492375,0.7881620061117303
80,0.3346487205396187,0.445577312171058,0.77043519014812
81,0.3410787281113556,0.4599342536733769,0.7727379690870351
82,0.3498257902253653,0.46912845813456117,0.7753094786073071
83,0.41680338085104796,0.5346240315479461,0.79779069163004
84,0.43664651539588145,0.5471639879198431,0.8045238164302414
85,0.360216071472134,0.47618917949554074,0.7791805398745271
86,0.38075880754794256,0.49367406082319376,0.7861592135166697
87,0.3832504238255525,0.500136447550312,0.7867560289227876
88,0.34685829289366094,0.45281574860532126,0.7742575066087354
89,0.3924002404394597,0.5092213272357156,0.7894533383957749
90,0.3960347823438006,0.5101664780668539,0.7911093546724144
91,0.32798522116329487,0.4492917427794503,0.7683265555309372
92,0.38696857362559844,0.494100602904664,0.7873033808347223
93,0.3632331117413072,0.47714673629020166,0.7798301735444656
94,0.2881605009872522,0.40724530827263333,0.7543513412750301
95,0.4198754489226171,0.5338781067154748,0.7989249966546809
96,0.32620105231987595,0.44805883941358293,0.7675088636172102
97,0.3698037461492248,0.48414210263490787,0.7823628913494017
98,0.34923295000087584,0.46492763074081,0.7752385074125239
99,0.36459804128828033,0.4838542321936945,0.7804703199369594
100,0.3789212910239354,0.48549183866832535,0.7850762370646343
101,0.3624715221802157,0.47307776827989134,0.7798414117268395
102,0.37477802450287895,0.4858716150794251,0.7840033373427109
103,0.34695627818637576,0.46132789642127797,0.7743476691495403
104,0.4175092517942446,0.5391806014729276,0.7980178985528554
105,0.3780972292677301,0.49891859208990597,0.7850853108705133
106,0.4639434678686302,0.5763650458291809,0.8134983597946597
107,0.3270571889694174,0.442801765618326,0.7678445307878591
108,0.364203389215706,0.48004734792589177,0.7804265770875342
109,0.37545708225505114,0.48471163064086553,0.7840608725700267
110,0.3990115503568562,0.5073194041404872,0.7919633586214684
111,0.38495609233187605,0.4964847609579804,0.7872764746149524
112,0.37897618091473084,0.4993472040316021,0.7850923869051567
113,0.424302055888255,0.531881594527579,0.8000654042540023
114,0.3401381209390217,0.4551282902326224,0.772187960130424
115,0.39524789036763747,0.5118632195832219,0.7910460097947672
116,0.38995460481192906,0.500382497999858,0.7890932114099098
117,0.32600789573871874,0.43993516867980265,0.7675745867592889
118,0.32766971871455725,0.4361954803725546,0.768203466387958
119,0.3706559013716287,0.48908609114373797,0.782269052506376
