case_id,shape_true,Re,dy_true,eps_true,iou_obstacle,dice_obstacle,miou3,miou3_fluid,miou3_wall,miou3_obstacle,mse_case,shape_pred,shape_correct,shape_confidence,dy_pred,dy_abs_err,eps_pred,eps_abs_err,eps_sign_correct,dy_std,eps_std
circle_Re200_p16,circle,200,-0.026330200515827,-0.0518062476147328,0.931034482726516,0.964285714268495,0.9674426099168841,0.9979093166077357,0.9733840304164004,0.931034482726516,0.0004534912109375,circle,1,0.98,-0.024654374376815388,0.001675826139011613,-0.022470561658872075,0.029335685955860724,1,0.0034951818388872717,0.026384541762117568
circle_Re300_p05,circle,300,-0.0269893676351503,-0.0521256767348716,0.931034482726516,0.964285714268495,0.9674426099168841,0.9979093166077357,0.9733840304164004,0.931034482726516,0.0004534912109375,circle,1,0.8575,-0.02481895718069171,0.00217041045445859,-0.021091661538595895,0.031034015196275702,1,0.00454631121734959,0.022422285423129382
circle_Re200_p25,circle,200,0.0084786110475347,-0.0347557227939009,0.931034482726516,0.964285714268495,0.9714477300732643,0.9986933228797858,0.9846153846134912,0.931034482726516,0.00036376953124999994,circle,1,0.9791666666666666,0.010064587916116297,0.0015859768685815966,-0.011626802231484594,0.023128920562416305,1,0.004145512600868862,0.031827381803579274
triangle_Re100_p15,triangle,100,0.0082146238795345,-0.0502102750163531,0.9333333332711111,0.9655172413460167,0.9682535572670434,0.9980433081136187,0.9733840304164004,0.9333333332711111,0.0003314208984375,triangle,1,0.9983333333333333,0.01183613193409301,0.0036215080545585095,-0.012759410746854693,0.0374508642694984,1,0.0053386898572191695,0.03363543266427384
diamond_Re300_p19,diamond,300,-0.038060918417947,0.0568695967692086,0.9333333332711111,0.9655172413460167,0.9705806619147124,0.998569942797582,0.9798387096754438,0.9333333332711111,0.00027160644531249996,diamond,1,0.9791666666666666,-0.040454834207512363,0.002393915789565361,0.02842543183250737,0.02844416493670123,1,0.0025276451774307283,0.022163366758613943
diamond_Re100_p06,diamond,100,0.0411636769041071,0.0466673828133226,0.9333333332711111,0.9655172413460167,0.9706341773401072,0.9985691987511708,0.97999999999804,0.9333333332711111,0.00027160644531249996,diamond,1,0.9541666666666667,0.039979591057155116,0.0011840858469519822,0.019978863476449674,0.026688519336872923,1,0.004505067014480555,0.03266718482661505
triangle_Re100_p27,triangle,100,0.0416957795793674,0.0539574751706396,0.9333333332711111,0.9655172413460167,0.9706075276183782,0.9985695708711315,0.9799196787128918,0.9333333332711111,0.00027160644531249996,triangle,1,0.9766666666666667,0.03924457304638435,0.002451206532983044,0.02369964055861967,0.03025783461201993,1,0.0037317259244017183,0.02870383386602746
diamond_Re300_p20,diamond,300,-0.040448131264063,-0.0416544476189907,0.9333333332711111,0.9655172413460167,0.9736563711565335,0.9990861618797651,0.9885496183187241,0.9333333332711111,0.00021179199218749998,diamond,1,0.985,-0.03778654815669719,0.002661583107365806,-0.029170050830879233,0.01248439678811147,1,0.004306756592053163,0.02564505622079617
triangle_Re300_p00,triangle,300,0.0297327951496019,-0.016799168773238,0.9374999999414062,0.9677419354526535,0.9791231789317202,0.9998695368557077,0.9999999999980469,0.9374999999414062,0.0001220703125,triangle,1,0.9983333333333333,0.0317405771708581,0.002007782021256198,-0.0028613308907739477,0.013937837882464053,1,0.003375716833663463,0.02433048298596998
circle_Re300_p04,circle,300,-0.000981522717605,0.0519398325080556,0.9629629629272977,0.9811320754531863,0.9777069609837667,0.9980463662410786,0.9721115537829241,0.9629629629272977,0.0003314208984375,circle,1,0.9525,-0.004291008266334032,0.003309485548729032,0.016519372772534558,0.03542045973552105,1,0.0032621977294970974,0.025894470532042458
